time,process,node,event,waited,fails
1,0,startEvent,end,0.0,0.0
1,0,Task 1,start,,
3,1,startEvent,end,0.0,0.0
3,1,Task 1,start,,
5,2,startEvent,end,0.0,0.0
5,2,Task 1,start,,
6,1,Task 1,end,0.0,0.0
6,1,Task 2.1,start,,
6,1,Task 2.2,start,,
6,1,Task 2.3,start,,
7,0,Task 1,failure,,
7,3,startEvent,end,0.0,0.0
7,3,Task 1,start,,
8,1,Task 2.3,failure,,
9,4,startEvent,end,0.0,0.0
9,4,Task 1,start,,
10,1,Task 2.3,failure,,
10,3,Task 1,end,0.0,1.0
10,3,Task 2.1,start,,
10,3,Task 2.2,start,,
10,3,Task 2.3,start,,
11,1,Task 2.2,end,0.0,0.0
11,1,Task 3,start,,
11,1,Task 4,start,,
12,1,Task 2.3,failure,,
12,3,Task 2.3,end,0.0,3.0
12,3,Task 5,start,,
13,0,Task 1,failure,,
13,2,Task 1,end,0.0,2.0
13,2,Task 2.1,start,,
13,2,Task 2.2,start,,
13,2,Task 2.3,start,,
13,3,Task 5,end,0.0,0.0
13,3,endpoint1,start,,
14,1,Task 2.3,failure,,
14,3,Task 2.1,failure,,
15,1,Task 2.1,failure,,
15,2,Task 2.3,failure,,
15,3,Task 2.2,end,0.0,0.0
15,3,Task 3,start,,
15,3,Task 4,start,,
16,1,Task 2.3,end,0.0,5.0
16,1,Task 5,start,,
16,2,Task 2.2,end,0.0,0.0
16,2,Task 3,start,,
16,2,Task 4,start,,
17,1,Task 5,end,0.0,0.0
17,1,endpoint1,start,,
17,2,Task 2.3,end,0.0,5.0
17,2,Task 5,start,,
18,2,Task 2.1,failure,,
18,3,endpoint1,end,0.0,0.0
18,4,Task 1,end,0.0,2.0
18,4,Task 2.1,start,,
18,4,Task 2.2,start,,
18,4,Task 2.3,start,,
19,0,Task 1,end,0.0,2.0
19,0,Task 2.1,start,,
19,0,Task 2.2,start,,
19,0,Task 2.3,start,,
19,2,Task 5,end,1.0,0.0
19,2,endpoint1,start,,
20,4,Task 2.3,failure,,
21,0,Task 2.3,end,0.0,6.0
21,0,Task 5,start,,
21,3,Task 2.1,failure,,
21,4,Task 2.2,end,0.0,0.0
21,4,Task 3,start,,
21,4,Task 4,start,,
22,1,Task 2.1,end,0.0,4.0
22,1,endpoint1,end,0.0,0.0
22,2,Task 3,end,0.0,0.0
22,2,Task 6,start,,
22,4,Task 2.3,failure,,
23,0,Task 5,end,2.0,0.0
23,0,endpoint1,start,,
23,4,Task 2.1,failure,,
24,4,Task 2.3,end,0.0,7.0
24,4,Task 5,start,,
25,2,Task 2.1,failure,,
25,2,endpoint1,end,0.0,0.0
25,2,Task 6,end,0.0,0.0
25,2,Task 7.1,start,,
25,2,Task 7.2,start,,
26,4,Task 5,end,3.0,0.0
26,4,endpoint1,start,,
28,0,Task 2.1,failure,,
28,1,Task 4,failure,,
28,3,Task 2.1,failure,,
30,0,endpoint1,failure,,
30,2,Task 7.1,end,0.0,0.0
30,2,Task 8,start,,
30,3,Task 4,end,0.0,1.0
30,3,Task 7.1,start,,
30,4,Task 2.1,failure,,
31,0,Task 2.2,end,8.0,0.0
31,0,Task 3,start,,
31,0,Task 4,start,,
32,2,Task 2.1,failure,,
32,4,endpoint1,end,0.0,1.0
33,2,Task 7.2,failure,,
33,2,Task 8,end,0.0,0.0
33,2,endEvent,start,,
34,0,Task 3,end,0.0,0.0
34,0,Task 6,start,,
34,3,Task 7.1,end,0.0,0.0
34,3,Task 8,start,,
35,0,Task 2.1,failure,,
35,3,Task 2.1,failure,,
36,0,endpoint1,end,0.0,1.0
37,0,Task 6,end,0.0,0.0
37,0,Task 7.1,start,,
37,0,Task 7.2,start,,
37,3,Task 8,end,0.0,0.0
37,3,endEvent,start,,
37,4,Task 2.1,failure,,
38,4,Task 4,end,0.0,1.0
38,4,Task 7.1,start,,
39,2,Task 2.1,failure,,
42,0,Task 2.1,failure,,
42,2,Task 7.2,failure,,
